id,ref_id,reviewer,source,basis,type,load_protocol,num_observations,nistir_id,comp_type,sub_type,detailing,material,size_class,comp_description,location,edp,edp_unit,ds_rank,ds_description,median,beta,probability
194,B3011.011,Dustin,FEMA P-58,,,,,B3011,Concrete tile roof,,,,,"Concrete tile roof, tiles secured and compliant with UBC94 - Costing per roofing square (100 SF)",,Peak Floor Acceleration,g,1.0,Minor damage; tiles dislodged.,1.1,0.4,1.0
195,B3011.011,Dustin,FEMA P-58,,,,,B3011,Concrete tile roof,,,,,"Concrete tile roof, tiles secured and compliant with UBC94 - Costing per roofing square (100 SF)",,Peak Floor Acceleration,g,2.0,Major portion of tile dislodged.,1.4,0.4,1.0
196,B3011.012,Dustin,FEMA P-58,,,,,B3011,Clay tile roof,,,,,"Clay tile roof, tiles secured and compliant with UBC94 - Costing per roofing square (100 SF)",,Peak Floor Acceleration,g,1.0,Minor damage; tiles dislodged.,1.4,0.3,1.0
197,B3011.012,Dustin,FEMA P-58,,,,,B3011,Clay tile roof,,,,,"Clay tile roof, tiles secured and compliant with UBC94 - Costing per roofing square (100 SF)",,Peak Floor Acceleration,g,2.0,Major portion of tile dislodged.,1.7,0.3,1.0
198,B3011.013,Dustin,FEMA P-58,,,,,B3011,Concrete tile roof,,,,,"Concrete tile roof, unsecured tiles - Costing per roofing square (100 SF)",,Peak Floor Acceleration,g,1.0,Minor damage; tiles dislodged.,0.5,0.4,1.0
199,B3011.013,Dustin,FEMA P-58,,,,,B3011,Concrete tile roof,,,,,"Concrete tile roof, unsecured tiles - Costing per roofing square (100 SF)",,Peak Floor Acceleration,g,2.0,Major portion of tile dislodged.,0.7,0.4,1.0
200,B3011.014,Dustin,FEMA P-58,,,,,B3011,Clay tile roof,,,,,"Clay tile roof, unsecured tiles - Costing per roofing square (100 SF)",,Peak Floor Acceleration,g,1.0,Minor damage; tiles dislodged.,0.4,0.3,1.0
201,B3011.014,Dustin,FEMA P-58,,,,,B3011,Clay tile roof,,,,,"Clay tile roof, unsecured tiles - Costing per roofing square (100 SF)",,Peak Floor Acceleration,g,2.0,Major portion of tile dislodged.,0.5,0.3,1.0
202,B3031.001a,Dustin,FEMA P-58,,,,,B3031,Masonry Chimney,,,,,"Masonry Chimney - unreinforced, non industrial, above roof 5 ft, replace with masonry - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors.",,Peak Floor Acceleration,g,1.0,"Cracking with offset > 1/16""",0.35,0.6,1.0
203,B3031.001a,Dustin,FEMA P-58,,,,,B3031,Masonry Chimney,,,,,"Masonry Chimney - unreinforced, non industrial, above roof 5 ft, replace with masonry - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors.",,Peak Floor Acceleration,g,2.0,Toppling of all or a portion of the chimney.,0.5,0.6,1.0
204,B3031.001b,Dustin,FEMA P-58,,,,,B3031,Masonry Chimney,,,,,"Masonry Chimney - unreinforced, non industrial, above roof 10 ft, replace with masonry - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors.",,Peak Floor Acceleration,g,1.0,"Cracking with offset > 1/16""",0.35,0.6,1.0
205,B3031.001b,Dustin,FEMA P-58,,,,,B3031,Masonry Chimney,,,,,"Masonry Chimney - unreinforced, non industrial, above roof 10 ft, replace with masonry - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors.",,Peak Floor Acceleration,g,2.0,Toppling of all or a portion of the chimney.,0.5,0.6,1.0
206,B3031.001c,Dustin,FEMA P-58,,,,,B3031,Masonry Chimney,,,,,"Masonry Chimney - unreinforced, non industrial, above roof 15 ft, replace with masonry - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors.",,Peak Floor Acceleration,g,1.0,"Cracking with offset > 1/16""",0.35,0.6,1.0
207,B3031.001c,Dustin,FEMA P-58,,,,,B3031,Masonry Chimney,,,,,"Masonry Chimney - unreinforced, non industrial, above roof 15 ft, replace with masonry - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors.",,Peak Floor Acceleration,g,2.0,Toppling of all or a portion of the chimney.,0.5,0.6,1.0
208,B3031.002a,Dustin,FEMA P-58,,,,,B3031,Masonry Chimney,,,,,"Masonry Chimney - unreinforced, non industrial, above roof 5 ft, replace with framing - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors.",,Peak Floor Acceleration,g,1.0,"Cracking with offset > 1/16""",0.35,0.6,1.0
209,B3031.002a,Dustin,FEMA P-58,,,,,B3031,Masonry Chimney,,,,,"Masonry Chimney - unreinforced, non industrial, above roof 5 ft, replace with framing - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors.",,Peak Floor Acceleration,g,2.0,Toppling of all or a portion of the chimney.,0.5,0.6,1.0
210,B3031.002b,Dustin,FEMA P-58,,,,,B3031,Masonry Chimney,,,,,"Masonry Chimney - unreinforced, non industrial, above roof 10 ft, replace with framing - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors.",,Peak Floor Acceleration,g,1.0,"Cracking with offset > 1/16""",0.35,0.6,1.0
211,B3031.002b,Dustin,FEMA P-58,,,,,B3031,Masonry Chimney,,,,,"Masonry Chimney - unreinforced, non industrial, above roof 10 ft, replace with framing - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors.",,Peak Floor Acceleration,g,2.0,Toppling of all or a portion of the chimney.,0.5,0.6,1.0
212,B3031.002c,Dustin,FEMA P-58,,,,,B3031,Masonry Chimney,,,,,"Masonry Chimney - unreinforced, non industrial, above roof 15 ft, replace with framing - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors.",,Peak Floor Acceleration,g,1.0,"Cracking with offset > 1/16""",0.35,0.6,1.0
213,B3031.002c,Dustin,FEMA P-58,,,,,B3031,Masonry Chimney,,,,,"Masonry Chimney - unreinforced, non industrial, above roof 15 ft, replace with framing - Demand parameter shall be defined as the first floor peak floor acceleration. Unreinforced masonry chimney as a component of wood frame buildings. Includes firebox and chimney, excludes exterior veneer or ornamentation. May include chimneys where the quality of reinforcing is unknown. For multiple story buildings enter the chimney fragility once at the first floor, do not specify this fragility at subsequent elevated floors.",,Peak Floor Acceleration,g,2.0,Toppling of all or a portion of the chimney.,0.5,0.6,1.0
214,B3041.001,Dustin,FEMA P-58,,,,,B3041,Masonry Parapet,,,,,"Masonry Parapet - unreinforced, unbraced - Unreinforced and unbraced masonry parapet as a component of a masonry building. Parapet height / width of approximately 3. Costing based upon repair of 3ft tall x 10ft segment.",,Peak Floor Acceleration,g,1.0,"Cracking with offset > 1/16""",0.2,0.6,1.0
215,B3041.001,Dustin,FEMA P-58,,,,,B3041,Masonry Parapet,,,,,"Masonry Parapet - unreinforced, unbraced - Unreinforced and unbraced masonry parapet as a component of a masonry building. Parapet height / width of approximately 3. Costing based upon repair of 3ft tall x 10ft segment.",,Peak Floor Acceleration,g,2.0,Toppling of all or portion of parapet.,0.4,0.6,1.0
216,C1011.001a,Dustin,FEMA P-58,,,,,C1011,Wall Partition,,,,,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state.",,Story Drift Ratio,Unitless,1.0,"Screw pop-out, cracking of wall board, warping or cracking of tape, slight crushing of wall panel at corners.",0.005,0.4,1.0
217,C1011.001a,Dustin,FEMA P-58,,,,,C1011,Wall Partition,,,,,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state.",,Story Drift Ratio,Unitless,2.0,"Moderate cracking or crushing of gypsum wall boards (typically in corners).  Moderate corner gap openings, bending of boundary studs.",0.01,0.3,1.0
218,C1011.001a,Dustin,FEMA P-58,,,,,C1011,Wall Partition,,,,,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state.",,Story Drift Ratio,Unitless,3.0,"Buckling of studs and tearing of tracks.  Tearing or bending of top track, tearing at corners with transverse walls, large gap openings, walls displaced.",0.021,0.2,1.0
219,C1011.001b,Dustin,FEMA P-58,,,,,C1011,Wall Partition,,,,,"Wall Partition, Type: Gypsum with metal studs, Partial Height, Fixed Below, Lateral Braced Above - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state.",,Story Drift Ratio,Unitless,1.0,"Screw pop-out, cracking of wall board, warping or cracking of tape, slight crushing of wall panel at corners.",0.01,0.3,1.0
220,C1011.001b,Dustin,FEMA P-58,,,,,C1011,Wall Partition,,,,,"Wall Partition, Type: Gypsum with metal studs, Partial Height, Fixed Below, Lateral Braced Above - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state.",,Story Drift Ratio,Unitless,2.0,"Moderate cracking or crushing of gypsum wall boards (typically in corners).  Moderate corner gap openings, bending of boundary studs.",0.013,0.3,1.0
221,C1011.001b,Dustin,FEMA P-58,,,,,C1011,Wall Partition,,,,,"Wall Partition, Type: Gypsum with metal studs, Partial Height, Fixed Below, Lateral Braced Above - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state.",,Story Drift Ratio,Unitless,3.0,"Buckling of studs and tearing of tracks.  Tearing or bending of top track, tearing at corners with transverse walls, large gap openings, walls displaced.",0.018,0.3,1.0
222,C1011.001c,Dustin,FEMA P-58,,,,,C1011,Wall Partition,,,,,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Slip Track Above with returns - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state.",,Story Drift Ratio,Unitless,1.0,"Screw pop-out, cracking of wall board, warping or cracking of tape, slight crushing of wall panel at corners.",0.004,0.45,1.0
223,C1011.001c,Dustin,FEMA P-58,,,,,C1011,Wall Partition,,,,,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Slip Track Above with returns - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state.",,Story Drift Ratio,Unitless,2.0,"Moderate cracking or crushing of gypsum wall boards (typically in corners).  Moderate corner gap openings, bending of boundary studs.",0.011,0.35,1.0
224,C1011.001c,Dustin,FEMA P-58,,,,,C1011,Wall Partition,,,,,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Slip Track Above with returns - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state.",,Story Drift Ratio,Unitless,3.0,"Buckling of studs and tearing of tracks.  Tearing or bending of top track, tearing at corners with transverse walls, large gap openings, walls displaced.",0.019,0.25,1.0
225,C1011.001d,Dustin,FEMA P-58,,,,,C1011,Wall Partition,,,,,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Slip Track Above w/o returns (friction connections) - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state.",,Story Drift Ratio,Unitless,1.0,"Screw pop-out, cracking of wall board, warping or cracking of tape, slight crushing of wall panel at corners.",0.0035,0.6,1.0
226,C1011.001d,Dustin,FEMA P-58,,,,,C1011,Wall Partition,,,,,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Slip Track Above w/o returns (friction connections) - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state.",,Story Drift Ratio,Unitless,2.0,"Moderate cracking or crushing of gypsum wall boards (typically in corners).  Moderate corner gap openings, bending of boundary studs.",0.0095,0.45,1.0
227,C1011.011a,Dustin,FEMA P-58,,,,,C1011,Wall Partition,,,,,"Wall Partition, Type: Gypsum with wood studs, Full Height, Fixed Below, Fixed Above - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state.",,Story Drift Ratio,Unitless,1.0,Cracking of paint over fasteners or joints.,0.0021,0.6,1.0
228,C1011.011a,Dustin,FEMA P-58,,,,,C1011,Wall Partition,,,,,"Wall Partition, Type: Gypsum with wood studs, Full Height, Fixed Below, Fixed Above - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state.",,Story Drift Ratio,Unitless,2.0,Local and global buckling out-of-plane and crushing of gypsum wallboards.  Studs are typically not damaged by failure of the gypsum wallboard.,0.0071,0.45,0.8
229,C1011.011a,Dustin,FEMA P-58,,,,,C1011,Wall Partition,,,,,"Wall Partition, Type: Gypsum with wood studs, Full Height, Fixed Below, Fixed Above - Quantity is based upon 13'x100' Panels. Quantity of wall damaged varies by damage state.",,Story Drift Ratio,Unitless,3.0,Local and global buckling out-of-plane and crushing of gypsum wallboards.  Studs are typically not damaged by failure of the gypsum wallboard.,0.0071,0.45,0.2
230,C2011.001a,Dustin,FEMA P-58,,,,,C2011,Prefabricated steel stair,,,,,"Prefabricated steel stair with steel treads and landings with seismic joints that accommodate drift. - Flexible stair with seismic interstory slip joint. Steel prefab stringers, steel or concrete filled pan treads.",,Story Drift Ratio,Unitless,1.0,"Non structural damage, local steel yielding.",,,1.0
231,C2011.001a,Dustin,FEMA P-58,,,,,C2011,Prefabricated steel stair,,,,,"Prefabricated steel stair with steel treads and landings with seismic joints that accommodate drift. - Flexible stair with seismic interstory slip joint. Steel prefab stringers, steel or concrete filled pan treads.",,Story Drift Ratio,Unitless,2.0,"Structural damage but live load capacity remains intact.  Buckling of steel, weld cracking.",,,1.0
232,C2011.001a,Dustin,FEMA P-58,,,,,C2011,Prefabricated steel stair,,,,,"Prefabricated steel stair with steel treads and landings with seismic joints that accommodate drift. - Flexible stair with seismic interstory slip joint. Steel prefab stringers, steel or concrete filled pan treads.",,Story Drift Ratio,Unitless,3.0,Loss of live load capacity.  Connection and or weld fracture.,,,1.0
233,C2011.001b,Dustin,FEMA P-58,,,,,C2011,Prefabricated steel stair,,,,,"Prefabricated steel stair with steel treads and landings with no seismic joint. - Flexible stair without seismic interstory slip joint. Steel prefab stringers, steel or concrete filled pan treads.",,Story Drift Ratio,Unitless,1.0,"Non structural damage, local steel yielding.",0.005,0.6,1.0
234,C2011.001b,Dustin,FEMA P-58,,,,,C2011,Prefabricated steel stair,,,,,"Prefabricated steel stair with steel treads and landings with no seismic joint. - Flexible stair without seismic interstory slip joint. Steel prefab stringers, steel or concrete filled pan treads.",,Story Drift Ratio,Unitless,2.0,"Buckling of steel, weld cracking.",0.017,0.6,1.0
235,C2011.001b,Dustin,FEMA P-58,,,,,C2011,Prefabricated steel stair,,,,,"Prefabricated steel stair with steel treads and landings with no seismic joint. - Flexible stair without seismic interstory slip joint. Steel prefab stringers, steel or concrete filled pan treads.",,Story Drift Ratio,Unitless,3.0,Loss of live load capacity.  Connection and or weld fracture.,0.028,0.45,1.0
236,C2011.011a,Dustin,FEMA P-58,,,,,C2011,Non-monolithic precast concrete stair assembly,,,,,Non-monolithic precast concrete stair assembly with concrete stringers and treads with seismic joints that accommodate drift. - Rigid stair with seismic interstory drift joint. Precast concrete stair.,,Story Drift Ratio,Unitless,1.0,"Non structural damage, local concrete cracking, localized concrete spalling, localized rebar yielding.",,,1.0
237,C2011.011a,Dustin,FEMA P-58,,,,,C2011,Non-monolithic precast concrete stair assembly,,,,,Non-monolithic precast concrete stair assembly with concrete stringers and treads with seismic joints that accommodate drift. - Rigid stair with seismic interstory drift joint. Precast concrete stair.,,Story Drift Ratio,Unitless,2.0,"Structural damage but live load capacity remains intact.  Extensive concrete cracking, concrete crushing, buckling of rebar.",,,1.0
238,C2011.011a,Dustin,FEMA P-58,,,,,C2011,Non-monolithic precast concrete stair assembly,,,,,Non-monolithic precast concrete stair assembly with concrete stringers and treads with seismic joints that accommodate drift. - Rigid stair with seismic interstory drift joint. Precast concrete stair.,,Story Drift Ratio,Unitless,3.0,"Loss of live load capacity.  Extensive concrete crushing, connection failure.",,,1.0
239,C2011.011b,Dustin,FEMA P-58,,,,,C2011,Non-monolithic precast concrete stair assembly,,,,,Non-monolithic precast concrete stair assembly with concrete stringers and treads with no seismic joint. - Rigid stair without seismic interstory drift joint. Precast concrete stair.,,Story Drift Ratio,Unitless,1.0,"Non structural damage, local concrete cracking, localized concrete spalling, localized rebar yielding.",0.005,0.6,1.0
240,C2011.011b,Dustin,FEMA P-58,,,,,C2011,Non-monolithic precast concrete stair assembly,,,,,Non-monolithic precast concrete stair assembly with concrete stringers and treads with no seismic joint. - Rigid stair without seismic interstory drift joint. Precast concrete stair.,,Story Drift Ratio,Unitless,2.0,"Structural damage but live load capacity remains intact.  Extensive concrete cracking, concrete crushing, buckling of rebar.",0.017,0.6,1.0
241,C2011.011b,Dustin,FEMA P-58,,,,,C2011,Non-monolithic precast concrete stair assembly,,,,,Non-monolithic precast concrete stair assembly with concrete stringers and treads with no seismic joint. - Rigid stair without seismic interstory drift joint. Precast concrete stair.,,Story Drift Ratio,Unitless,3.0,"Loss of live load capacity.  Extensive concrete crushing, connection failure.",0.028,0.45,1.0
242,C2011.021a,Dustin,FEMA P-58,,,,,C2011,Monolithic cast-in-place and precast concrete stairs,,,,,"Monolithic cast-in-place and precast concrete stairs with seismic joints that accommodate drift - replace in kind if replacement is required. - Cast in place concrete stair, with seismic interstory drift joint",,Story Drift Ratio,Unitless,1.0,"Local concrete cracking, localized concrete spalling",,,1.0
243,C2011.021a,Dustin,FEMA P-58,,,,,C2011,Monolithic cast-in-place and precast concrete stairs,,,,,"Monolithic cast-in-place and precast concrete stairs with seismic joints that accommodate drift - replace in kind if replacement is required. - Cast in place concrete stair, with seismic interstory drift joint",,Story Drift Ratio,Unitless,2.0,"Extensive concrete cracking, concrete crushing",,,1.0
244,C2011.021a,Dustin,FEMA P-58,,,,,C2011,Monolithic cast-in-place and precast concrete stairs,,,,,"Monolithic cast-in-place and precast concrete stairs with seismic joints that accommodate drift - replace in kind if replacement is required. - Cast in place concrete stair, with seismic interstory drift joint",,Story Drift Ratio,Unitless,3.0,Loss of live load capacity.  ,,,1.0
245,C2011.021b,Dustin,FEMA P-58,,,,,C2011,Monolithic cast-in-place and precast concrete stairs,,,,,"Monolithic cast-in-place and precast concrete stairs with no seismic joints - replace in kind if replacement is required. - Cast in place concrete stair, no seismic interstory drift joint",,Story Drift Ratio,Unitless,1.0,"Local concrete cracking, localized concrete spalling",,,1.0
246,C2011.021b,Dustin,FEMA P-58,,,,,C2011,Monolithic cast-in-place and precast concrete stairs,,,,,"Monolithic cast-in-place and precast concrete stairs with no seismic joints - replace in kind if replacement is required. - Cast in place concrete stair, no seismic interstory drift joint",,Story Drift Ratio,Unitless,2.0,"Extensive concrete cracking, concrete crushing",,,1.0
247,C2011.021b,Dustin,FEMA P-58,,,,,C2011,Monolithic cast-in-place and precast concrete stairs,,,,,"Monolithic cast-in-place and precast concrete stairs with no seismic joints - replace in kind if replacement is required. - Cast in place concrete stair, no seismic interstory drift joint",,Story Drift Ratio,Unitless,3.0,Loss of live load capacity.  ,,,1.0
248,C2011.021c,Dustin,FEMA P-58,,,,,C2011,Monolithic cast-in-place and precast concrete stairs,,,,,"Monolithic cast-in-place and precast concrete stairs with seismic joints that accommodate drift - replace with prefabricated steel stair if replacement is required. - Cast in place concrete stair, with seismic interstory drift joint",,Story Drift Ratio,Unitless,1.0,"Local concrete cracking, localized concrete spalling",,,1.0
249,C2011.021c,Dustin,FEMA P-58,,,,,C2011,Monolithic cast-in-place and precast concrete stairs,,,,,"Monolithic cast-in-place and precast concrete stairs with seismic joints that accommodate drift - replace with prefabricated steel stair if replacement is required. - Cast in place concrete stair, with seismic interstory drift joint",,Story Drift Ratio,Unitless,2.0,"Extensive concrete cracking, concrete crushing",,,1.0
250,C2011.021c,Dustin,FEMA P-58,,,,,C2011,Monolithic cast-in-place and precast concrete stairs,,,,,"Monolithic cast-in-place and precast concrete stairs with seismic joints that accommodate drift - replace with prefabricated steel stair if replacement is required. - Cast in place concrete stair, with seismic interstory drift joint",,Story Drift Ratio,Unitless,3.0,Loss of live load capacity.  ,,,1.0
251,C2011.021d,Dustin,FEMA P-58,,,,,C2011,Monolithic cast-in-place and precast concrete stairs,,,,,"Monolithic cast-in-place and precast concrete stairs with no seismic joints - replace with prefabricated steel stair if replacement is required. - Cast in place concrete stair, no seismic interstory drift joint",,Story Drift Ratio,Unitless,1.0,"Local concrete cracking, localized concrete spalling",,,1.0
252,C2011.021d,Dustin,FEMA P-58,,,,,C2011,Monolithic cast-in-place and precast concrete stairs,,,,,"Monolithic cast-in-place and precast concrete stairs with no seismic joints - replace with prefabricated steel stair if replacement is required. - Cast in place concrete stair, no seismic interstory drift joint",,Story Drift Ratio,Unitless,2.0,"Extensive concrete cracking, concrete crushing",,,1.0
253,C2011.021d,Dustin,FEMA P-58,,,,,C2011,Monolithic cast-in-place and precast concrete stairs,,,,,"Monolithic cast-in-place and precast concrete stairs with no seismic joints - replace with prefabricated steel stair if replacement is required. - Cast in place concrete stair, no seismic interstory drift joint",,Story Drift Ratio,Unitless,3.0,Loss of live load capacity.  ,,,1.0
254,C2011.031a,Dustin,FEMA P-58,,,,,C2011,Hybrid stair assembly with steel stringers and concrete treads and landings,,,,,Hybrid stair assembly with steel stringers and concrete treads and landings with seismic joints that accommodate drift. - Stair consists of steel stringers with precast treads rigidly linked to stringer,,Story Drift Ratio,Unitless,1.0,Localized steel yielding.,,,1.0
255,C2011.031a,Dustin,FEMA P-58,,,,,C2011,Hybrid stair assembly with steel stringers and concrete treads and landings,,,,,Hybrid stair assembly with steel stringers and concrete treads and landings with seismic joints that accommodate drift. - Stair consists of steel stringers with precast treads rigidly linked to stringer,,Story Drift Ratio,Unitless,2.0,"Buckling of steel, weld cracking.",,,1.0
256,C2011.031a,Dustin,FEMA P-58,,,,,C2011,Hybrid stair assembly with steel stringers and concrete treads and landings,,,,,Hybrid stair assembly with steel stringers and concrete treads and landings with seismic joints that accommodate drift. - Stair consists of steel stringers with precast treads rigidly linked to stringer,,Story Drift Ratio,Unitless,3.0,Loss of live load capacity.  ,,,1.0
257,C2011.031b,Dustin,FEMA P-58,,,,,C2011,Hybrid stair assembly with steel stringers and concrete treads and landings,,,,,Hybrid stair assembly with steel stringers and concrete treads and landings with no seismic joints. - Stair consists of steel stringers with precast treads rigidly linked to stringer,,Story Drift Ratio,Unitless,1.0,Localized steel yielding.,0.005,0.6,1.0
258,C2011.031b,Dustin,FEMA P-58,,,,,C2011,Hybrid stair assembly with steel stringers and concrete treads and landings,,,,,Hybrid stair assembly with steel stringers and concrete treads and landings with no seismic joints. - Stair consists of steel stringers with precast treads rigidly linked to stringer,,Story Drift Ratio,Unitless,2.0,"Buckling of steel, weld cracking.",0.017,0.6,1.0
259,C2011.031b,Dustin,FEMA P-58,,,,,C2011,Hybrid stair assembly with steel stringers and concrete treads and landings,,,,,Hybrid stair assembly with steel stringers and concrete treads and landings with no seismic joints. - Stair consists of steel stringers with precast treads rigidly linked to stringer,,Story Drift Ratio,Unitless,3.0,Loss of live load capacity.  ,0.028,0.45,1.0
260,C3011.001a,Dustin,FEMA P-58,,,,,C3011,Wall Partition Finish,,,,,"Wall Partition, Type: Gypsum + Wallpaper, Full Height, Fixed Below, Fixed Above - Costing based upon 9'x100' Panels",,Story Drift Ratio,Unitless,1.0,Wall paper warped and torn.,0.0021,0.6,1.0
261,C3011.001b,Dustin,FEMA P-58,,,,,C3011,Wall Partition Finish,,,,,"Wall Partition, Type: Gypsum + Wallpaper, Partial Height, Fixed Below, Lateral Braced Above - Costing based upon 9'x100' Panels",,Story Drift Ratio,Unitless,1.0,Wall paper warped and torn.,0.0064,0.3,1.0
262,C3011.001c,Dustin,FEMA P-58,,,,,C3011,Wall Partition Finish,,,,,"Wall Partition, Type: Gypsum + Wallpaper, Full Height, Fixed Below, Slip Track Above w/ returns (friction connection) - Costing based upon 9'x100' Panels",,Story Drift Ratio,Unitless,1.0,Wall paper warped and torn.,0.002,0.7,1.0
263,C3011.001d,Dustin,FEMA P-58,,,,,C3011,Wall Partition Finish,,,,,"Wall Partition, Type: Gypsum + Wallpaper, Full Height, Fixed Below, Slip Track Above w/o returns (friction connection) - Costing based upon 9'x100' Panels",,Story Drift Ratio,Unitless,1.0,Wall paper warped and torn.,0.0035,0.7,1.0
264,C3011.002a,Dustin,FEMA P-58,,,,,C3011,Wall Partition Finish,,,,,"Wall Partition, Type: Gypsum + Ceramic Tile, Full Height, Fixed Below, Fixed Above - Costing based upon 9'x100' Panels",,Story Drift Ratio,Unitless,1.0,Minor cracked joints and tile.,0.0021,0.6,1.0
265,C3011.002a,Dustin,FEMA P-58,,,,,C3011,Wall Partition Finish,,,,,"Wall Partition, Type: Gypsum + Ceramic Tile, Full Height, Fixed Below, Fixed Above - Costing based upon 9'x100' Panels",,Story Drift Ratio,Unitless,2.0,Cracked joints and tile.,0.0071,0.45,1.0
266,C3011.002b,Dustin,FEMA P-58,,,,,C3011,Wall Partition Finish,,,,,"Wall Partition, Type: Gypsum + Ceramic Tile, Partial Height, Fixed Below, Lateral Braced Above - Costing based upon 9'x100' Panels",,Story Drift Ratio,Unitless,1.0,Minor cracked joints and tile.,0.0064,0.3,1.0
267,C3011.002b,Dustin,FEMA P-58,,,,,C3011,Wall Partition Finish,,,,,"Wall Partition, Type: Gypsum + Ceramic Tile, Partial Height, Fixed Below, Lateral Braced Above - Costing based upon 9'x100' Panels",,Story Drift Ratio,Unitless,2.0,Cracked joints and tile.,0.011,0.3,1.0
268,C3011.002c,Dustin,FEMA P-58,,,,,C3011,Wall Partition Finish,,,,,"Wall Partition, Type: Gypsum + Ceramic Tile, Full Height, Fixed Below, Slip Track Above w/ returns (friction connection) - Costing based upon 9'x100' Panels",,Story Drift Ratio,Unitless,1.0,Minor cracked joints and tile.,0.002,0.7,1.0
