id,reference_id,reviewer,source,basis,type,load_protocol,num_observations,nistir_id,comp_type,sub_type,detailing,material,size_class,comp_description,location,edp,edp_unit,ds_rank,ds_description,median,beta,probability
fra1127a,B2022.054,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 1/4 in. (6 mm) FT monolithic, Polished Edge; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass falls from frame.,0.043,0.25,1.0
fra1128a,B2022.061,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Heat strengthened, Details: 1/4 in. (6 mm) HS monolithic; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Glass cracking.,0.024,0.29,1.0
fra1129a,B2022.061,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Monolithic, Lamination: Not laminated, Glass Type: Heat strengthened, Details: 1/4 in. (6 mm) HS monolithic; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass falls from frame.,0.025,0.29,1.0
fra1130a,B2022.071,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) inner AN / 1/4 in. (6 mm) outer AN LAM (0.030 PVB) IGU; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Gasket seal failure.,0.027,0.3,1.0
fra1131a,B2022.071,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) inner AN / 1/4 in. (6 mm) outer AN LAM (0.030 PVB) IGU; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass cracking.,0.0276,0.3,1.0
fra1132a,B2022.071,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) inner AN / 1/4 in. (6 mm) outer AN LAM (0.030 PVB) IGU; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,3.0,Glass falls out.,0.0303,0.3,1.0
fra1133a,B2022.072,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) inner AN / 1/4 in. (6 mm) outer AN LAM (0.060 PVB) IGU; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Gasket seal failure.,0.0262,0.3,1.0
fra1134a,B2022.072,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) inner AN / 1/4 in. (6 mm) outer AN LAM (0.060 PVB) IGU; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass cracking.,0.0266,0.3,1.0
fra1135a,B2022.072,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) inner AN / 1/4 in. (6 mm) outer AN LAM (0.060 PVB) IGU; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,3.0,Glass falls out.,0.0299,0.3,1.0
fra1136a,B2022.081,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN insulating glass unit (IGU) [1/4 in. (6 mm) inner and outer panes]; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Glass cracking.,0.0234,0.3,1.0
fra1137a,B2022.081,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN insulating glass unit (IGU) [1/4 in. (6 mm) inner and outer panes]; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass falls from frame.,0.031,0.3,1.0
fra1138a,B2022.082,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN IGU [1/4 in. (6 mm) inner and outer panes]; glass-frame clearance = 0.25 in. (6 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Glass cracking.,0.0142,0.25,1.0
fra1139a,B2022.082,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN IGU [1/4 in. (6 mm) inner and outer panes]; glass-frame clearance = 0.25 in. (6 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass falls from frame.,0.0221,0.25,1.0
fra1140a,B2022.083,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN IGU [1/4 in. (6 mm) inner and outer panes], 2-sided SSG, Center Panel; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = wet - None",,Story Drift Ratio,Unitless,1.0,Gasket seal failure.,0.026,0.11,1.0
fra1141a,B2022.083,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN IGU [1/4 in. (6 mm) inner and outer panes], 2-sided SSG, Center Panel; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = wet - None",,Story Drift Ratio,Unitless,2.0,Glass cracking.,0.051,0.25,1.0
fra1142a,B2022.083,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN IGU [1/4 in. (6 mm) inner and outer panes], 2-sided SSG, Center Panel; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = wet - None",,Story Drift Ratio,Unitless,3.0,Glass falls out.,0.054,0.25,1.0
fra1143a,B2022.084,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN IGU [1/4 in. (6 mm) inner and outer panes], 2-sided SSG, Outside Panel; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = wet - None",,Story Drift Ratio,Unitless,1.0,Gasket seal failure.,0.026,0.11,1.0
fra1144a,B2022.084,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN IGU [1/4 in. (6 mm) inner and outer panes], 2-sided SSG, Outside Panel; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = wet - None",,Story Drift Ratio,Unitless,2.0,Glass cracking.,0.051,0.25,1.0
fra1145a,B2022.084,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN IGU [1/4 in. (6 mm) inner and outer panes], 2-sided SSG, Outside Panel; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = wet - None",,Story Drift Ratio,Unitless,3.0,Glass falls out.,0.054,0.25,1.0
fra1146a,B2022.091,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes]; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Gasket seal failure.,0.026,0.11,1.0
fra1147a,B2022.091,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes]; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass cracking.,0.031,0.25,1.0
fra1148a,B2022.091,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes]; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,3.0,Glass falls out.,0.032,0.25,1.0
fra1149a,B2022.101,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Heat strengthened, Details: 1 in. (25 mm) HS IGU [1/4 in. (6 mm) inner and outer panes]; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Gasket seal failure.,0.026,0.3,1.0
fra1150a,B2022.101,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Heat strengthened, Details: 1 in. (25 mm) HS IGU [1/4 in. (6 mm) inner and outer panes]; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass cracking.,0.027,0.3,1.0
fra1151a,B2022.101,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Midrise stick-built curtain wall, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Heat strengthened, Details: 1 in. (25 mm) HS IGU [1/4 in. (6 mm) inner and outer panes]; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,3.0,Glass falls out.,0.028,0.3,1.0
fra1152a,B2022.201,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Curtain Walls - Unitized curtain wall (also generic unitized curtain wall), Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1-1/4 in. (32 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], 4-sided SSG, VHBTM SGTTM; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = Varies sealant = wet - None",,Story Drift Ratio,Unitless,1.0,Gasket seal failure.,0.026,0.45,1.0
fra1153a,B2022.201,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Curtain Walls - Unitized curtain wall (also generic unitized curtain wall), Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1-1/4 in. (32 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], 4-sided SSG, VHBTM SGTTM; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = Varies sealant = wet - None",,Story Drift Ratio,Unitless,2.0,Glass cracking.,0.05,0.25,1.0
fra1154a,B2022.201,NIST,FEMA P-58,,,,,B2022,Curtain Walls,,,,,"Curtain Walls - Unitized curtain wall (also generic unitized curtain wall), Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1-1/4 in. (32 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], 4-sided SSG, VHBTM SGTTM; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = Varies sealant = wet - None",,Story Drift Ratio,Unitless,3.0,Glass falls out.,0.1,0.25,1.0
fra1155a,B2023.001,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Generic Storefront, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5, Other details Unknown - None",,Story Drift Ratio,Unitless,1.0,Gasket seal failure.,0.029,0.5,1.0
fra1156a,B2023.001,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Generic Storefront, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5, Other details Unknown - None",,Story Drift Ratio,Unitless,2.0,Glass cracking.,0.0473,0.25,1.0
fra1157a,B2023.001,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Generic Storefront, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5, Other details Unknown - None",,Story Drift Ratio,Unitless,3.0,Glass falls out.,0.07,0.25,1.0
fra1158a,B2023.002,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Generic Storefront, Config: IGU, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5, Other details Unknown - None",,Story Drift Ratio,Unitless,1.0,Gasket seal failure.,0.0423,0.3,1.0
fra1159a,B2023.002,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Generic Storefront, Config: IGU, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5, Other details Unknown - None",,Story Drift Ratio,Unitless,2.0,Glass cracking.,0.059,0.25,1.0
fra1160a,B2023.002,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Generic Storefront, Config: IGU, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5, Other details Unknown - None",,Story Drift Ratio,Unitless,3.0,Glass falls out.,0.0665,0.35,1.0
fra1161a,B2023.011,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Monolithic, Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN LAM (0.030 PVB); glass-frame clearance = 0.41 in. (10 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Gasket seal failure.,0.029,0.5,1.0
fra1162a,B2023.011,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Monolithic, Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN LAM (0.030 PVB); glass-frame clearance = 0.41 in. (10 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass cracking.,0.0567,0.3,1.0
fra1163a,B2023.011,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Monolithic, Lamination: Laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN LAM (0.030 PVB); glass-frame clearance = 0.41 in. (10 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,3.0,Glass falls out.,0.08,0.3,1.0
fra1164a,B2023.021,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.41 in. (10 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Gasket seal failure.,0.0303,0.5,1.0
fra1165a,B2023.021,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.41 in. (10 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass cracking.,0.0413,0.3,1.0
fra1166a,B2023.021,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Annealed, Details: 1/4 in. (6 mm) AN monolithic; glass-frame clearance = 0.41 in. (10 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,3.0,Glass falls out.,0.051,0.3,1.0
fra1167a,B2023.031,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 3/8 in. (10 mm) FT monolithic, Planar Specimen; glass-frame clearance = 0.5 in. (13 mm); aspect ratio = 1.93:1 sealant = wet - None",,Story Drift Ratio,Unitless,1.0,Glass cracking.,0.03,1.0,1.0
fra1168a,B2023.031,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 3/8 in. (10 mm) FT monolithic, Planar Specimen; glass-frame clearance = 0.5 in. (13 mm); aspect ratio = 1.93:1 sealant = wet - None",,Story Drift Ratio,Unitless,2.0,Frame Damage,0.052,0.4,1.0
fra1169a,B2023.032,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 3/8 in. (10 mm) FT monolithic, Corner Cond. Specimen, in-plane; glass-frame clearance = 0.5 in. (13 mm); aspect ratio = 1.93:1 sealant = wet - None",,Story Drift Ratio,Unitless,1.0,Glass cracking.,0.042,0.55,1.0
fra1170a,B2023.032,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 3/8 in. (10 mm) FT monolithic, Corner Cond. Specimen, in-plane; glass-frame clearance = 0.5 in. (13 mm); aspect ratio = 1.93:1 sealant = wet - None",,Story Drift Ratio,Unitless,2.0,Frame Damage,0.05,1.0,1.0
fra1171a,B2023.033,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 3/8 in. (10 mm) FT monolithic, Corner Cond. Specimen, combined; glass-frame clearance = 0.5 in. (13 mm); aspect ratio = 1.93:1 sealant = wet - None",,Story Drift Ratio,Unitless,1.0,Glass cracking.,0.03,1.0,1.0
fra1172a,B2023.033,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 3/8 in. (10 mm) FT monolithic, Corner Cond. Specimen, combined; glass-frame clearance = 0.5 in. (13 mm); aspect ratio = 1.93:1 sealant = wet - None",,Story Drift Ratio,Unitless,2.0,Frame Damage,0.05,0.4,1.0
fra1173a,B2023.034,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 3/8 in. (10 mm) FT monolithic, Corner Cond. Specimen, Short side; glass-frame clearance = 0.5 in. (13 mm); aspect ratio = 2.72:1 sealant = wet - None",,Story Drift Ratio,Unitless,1.0,Glass cracking.,0.036,0.75,1.0
fra1174a,B2023.034,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Monolithic, Lamination: Not laminated, Glass Type: Full tempered, Details: 3/8 in. (10 mm) FT monolithic, Corner Cond. Specimen, Short side; glass-frame clearance = 0.5 in. (13 mm); aspect ratio = 2.72:1 sealant = wet - None",,Story Drift Ratio,Unitless,2.0,Frame Damage,0.05,1.0,1.0
fra1175a,B2023.041,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN IGU; glass-frame clearance = 0.59 in. (15 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Gasket seal failure.,0.0423,0.3,1.0
fra1176a,B2023.041,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN IGU; glass-frame clearance = 0.59 in. (15 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass cracking.,0.059,0.25,1.0
fra1177a,B2023.041,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Annealed, Details: 1 in. (25 mm) AN IGU; glass-frame clearance = 0.59 in. (15 mm); aspect ratio = 6:5 sealant = dry - None",,Story Drift Ratio,Unitless,3.0,Glass falls out.,0.0665,0.25,1.0
fra1178a,B2023.051,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Planar Specimen; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1.89:1 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Panel damage (no glass damage).,0.05,0.29,1.0
fra1179a,B2023.051,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Planar Specimen; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1.89:1 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass cracks.,0.16,1.0,1.0
fra1180a,B2023.052,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Corner Cond. Specimen, in-plane; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1.89:1 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Panel damage (no glass damage).,0.054,0.28,1.0
fra1181a,B2023.052,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Corner Cond. Specimen, in-plane; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1.89:1 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass cracks.,0.16,1.0,1.0
fra1182a,B2023.053,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Corner Cond. Specimen, combined; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1.89:1 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Panel damage (no glass damage).,0.05,0.28,1.0
fra1183a,B2023.053,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Corner Cond. Specimen, combined; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1.89:1 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass cracks.,0.16,1.0,1.0
fra1184a,B2023.054,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Corner Cond. Specimen, Short side; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 2.83:1 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Panel damage (no glass damage).,0.1,0.32,1.0
fra1185a,B2023.054,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Corner Cond. Specimen, Short side; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 2.83:1 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass cracks.,0.11,0.32,1.0
fra1186a,B2023.055,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Planar Specimen; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1.88:1 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Panel damage (no glass damage).,0.055,0.29,1.0
fra1187a,B2023.055,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Planar Specimen; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1.88:1 sealant = dry - None",,Story Drift Ratio,Unitless,2.0,Glass cracks.,0.1,0.32,1.0
fra1188a,B2023.056,NIST,FEMA P-58,,,,,B2023,Storefront,,,,,"Storefront, Config: Symmetric insulating glass units (dual-pane, equal-thickness IGU), Lamination: Not laminated, Glass Type: Full tempered, Details: 1 in. (25 mm) FT IGU [1/4 in. (6 mm) inner and outer panes], Corner Cond. Specimen, in-plane; glass-frame clearance = 0.43 in. (11 mm); aspect ratio = 1.88:1 sealant = dry - None",,Story Drift Ratio,Unitless,1.0,Panel damage (no glass damage).,0.055,0.32,1.0
